省份英文全称_别名	省份中文全称_别名	省份中文全称_标准	省份英文名称_标准
Anhui	安徽	安徽省	Anhui
Macau	澳门	澳门特别行政区	Macau
Macao	澳门	澳门特别行政区	Macau
Beijing	北京	北京市	Beijing
Fujian	福建	福建省	Fujian
Gansu	甘肃	甘肃省	Gansu
Guangdong	广东	广东省	Guangdong
Guangxi	广西	广西壮族自治区	Guangxi
Guizhou	贵州	贵州省	Guizhou
Hainan	海南	海南省	Hainan
Hebei	河北	河北省	Hebei
Henan	河南	河南省	Henan
Heilongjiang	黑龙江	黑龙江省	Heilongjiang
Hubei	湖北	湖北省	Hubei
Hunan	湖南	湖南省	Hunan
Jilin	吉林	吉林省	Jilin
Jiangsu	江苏	江苏省	Jiangsu
Jiangxi	江西	江西省	Jiangxi
Liaoning	辽宁	辽宁省	Liaoning
Inner_mongolia	内蒙古	内蒙古自治区	Inner_Mongolia
Inner_Mongolia	内蒙古	内蒙古自治区	Inner_Mongolia
Innermongolia	内蒙古	内蒙古自治区	Inner_Mongolia
InnerMongolia	内蒙古	内蒙古自治区	Inner_Mongolia
Mongoliania	蒙古	内蒙古自治区	Inner_Mongolia
Ningxia	宁夏	宁夏回族自治区	Ningxia
Qinghai	青海	青海省	Qinghai
Shandong	山东	山东省	Shandong
Shanxi	山西	山西省	Shanxi
Shaanxi	陕西	陕西省	Shaanxi
Shanghai	上海	上海市	Shanghai
Sichuan	四川	四川省	Sichuan
Taiwan	台湾	台湾省	Taiwan
Tianjin	天津	天津市	Tianjin
Xizang	西藏	西藏自治区	Xizang_Autonomous_Region
Tibet	西藏	西藏自治区	Xizang_Autonomous_Region
Xizang Autonomous Region	西藏	西藏自治区	Xizang_Autonomous_Region
XizangAutonomousRegion	西藏	西藏自治区	Xizang_Autonomous_Region
Hongkong	香港	香港特别行政区	Hongkong
Xianggang	香港	香港特别行政区	Hongkong
Xinjiang	新疆	新疆维吾尔自治区	Xinjiang
Yunnan	云南	云南省	Yunnan
Zhejiang	浙江	浙江省	Zhejiang
Chongqing	重庆	重庆市	Chongqing
Inner_Mogolia	内蒙古	内蒙古自治区	Inner_Mongolia
