tip_name	sample_id	region	population	haplogroup
EC01_M7b1a1	EC01	East_China	Han_Shanghai	M7b1a1
EC02_M7b1a2	EC02	East_China	Han_Jiangsu	M7b1a2
EC03_M7b1a3	EC03	East_China	Han_Shanghai	M7b1a3
EC04_M7b1a4	EC04	East_China	Han_Jiangsu	M7b1a4
EC05_M7b1a5	EC05	East_China	Han_Shanghai	M7b1a5
EC06_M7b1a6	EC06	East_China	Han_Jiangsu	M7b1a6
EC07_M7b1a7	EC07	East_China	Han_Shanghai	M7b1a7
EC08_M7b1a8	EC08	East_China	Han_Jiangsu	M7b1a8
NC01_D4j11	NC01	North_China	Han_Beijing	D4j11
NC02_D4j12	NC02	North_China	Han_Hebei	D4j12
NC03_D4j13	NC03	North_China	Han_Beijing	D4j13
NC04_D4j14	NC04	North_China	Han_Hebei	D4j14
NC05_D4j15	NC05	North_China	Han_Beijing	D4j15
NC06_D4j16	NC06	North_China	Han_Hebei	D4j16
NC07_D4j17	NC07	North_China	Han_Beijing	D4j17
NC08_D4j18	NC08	North_China	Han_Hebei	D4j18
CC01_F1a11	CC01	Central_China	Han_Henan	F1a11
CC02_F1a12	CC02	Central_China	Han_Hubei	F1a12
CC03_F1a13	CC03	Central_China	Han_Henan	F1a13
CC04_F1a14	CC04	Central_China	Han_Hubei	F1a14
CC05_F1a15	CC05	Central_China	Han_Henan	F1a15
CC06_F1a16	CC06	Central_China	Han_Hubei	F1a16
CC07_F1a17	CC07	Central_China	Han_Henan	F1a17
CC08_F1a18	CC08	Central_China	Han_Hubei	F1a18
SC01_B5a11	SC01	South_China	Han_Guangdong	B5a11
SC02_B5a12	SC02	South_China	Zhuang_Guangxi	B5a12
SC03_B5a13	SC03	South_China	Han_Guangdong	B5a13
SC04_B5a14	SC04	South_China	Zhuang_Guangxi	B5a14
SC05_B5a15	SC05	South_China	Han_Guangdong	B5a15
SC06_B5a16	SC06	South_China	Zhuang_Guangxi	B5a16
SC07_B5a17	SC07	South_China	Han_Guangdong	B5a17
SC08_B5a18	SC08	South_China	Zhuang_Guangxi	B5a18
SW01_A15a1	SW01	Southwest_China	Tibetan	A15a1
SW02_A15a2	SW02	Southwest_China	Yi	A15a2
SW03_A15a3	SW03	Southwest_China	Tibetan	A15a3
SW04_A15a4	SW04	Southwest_China	Yi	A15a4
SW05_A15a5	SW05	Southwest_China	Tibetan	A15a5
SW06_A15a6	SW06	Southwest_China	Yi	A15a6
SW07_A15a7	SW07	Southwest_China	Tibetan	A15a7
SW08_A15a8	SW08	Southwest_China	Yi	A15a8
NE01_G2a11	NE01	Northeast_China	Manchu	G2a11
NE02_G2a12	NE02	Northeast_China	Hezhen	G2a12
NE03_G2a13	NE03	Northeast_China	Manchu	G2a13
NE04_G2a14	NE04	Northeast_China	Hezhen	G2a14
NE05_G2a15	NE05	Northeast_China	Manchu	G2a15
NE06_G2a16	NE06	Northeast_China	Hezhen	G2a16
NE07_G2a17	NE07	Northeast_China	Manchu	G2a17
NE08_G2a18	NE08	Northeast_China	Hezhen	G2a18
NW01_C4a11	NW01	Northwest_China	Hui	C4a11
NW02_C4a12	NW02	Northwest_China	Uyghur	C4a12
NW03_C4a13	NW03	Northwest_China	Hui	C4a13
NW04_C4a14	NW04	Northwest_China	Uyghur	C4a14
NW05_C4a15	NW05	Northwest_China	Hui	C4a15
NW06_C4a16	NW06	Northwest_China	Uyghur	C4a16
NW07_C4a17	NW07	Northwest_China	Hui	C4a17
NW08_C4a18	NW08	Northwest_China	Uyghur	C4a18
